Samples	SBS96A	SBS96B
SP.Syn.Abst.1	3795	2997
SP.Syn.Abst.2	1443	3836
SP.Syn.Abst.3	2066	3518
SP.Syn.Abst.4	3339	1542
SP.Syn.Abst.5	3301	4812
SP.Syn.Abst.6	5947	3201
SP.Syn.Abst.7	3981	3779
SP.Syn.Abst.8	2464	2790
SP.Syn.Abst.9	3796	502
SP.Syn.Abst.10	6172	6208
SP.Syn.Abst.11	4575	4644
SP.Syn.Abst.12	6877	2507
SP.Syn.Abst.13	5349	7115
SP.Syn.Abst.14	6071	7548
SP.Syn.Abst.15	4343	3653
SP.Syn.Abst.16	5539	2267
SP.Syn.Abst.17	9657	8376
SP.Syn.Abst.18	8360	3637
SP.Syn.Abst.19	5879	5236
SP.Syn.Abst.20	2729	2818
SP.Syn.Abst.21	2318	5677
SP.Syn.Abst.22	3429	5839
SP.Syn.Abst.23	3150	4017
SP.Syn.Abst.24	2975	9841
SP.Syn.Abst.25	6344	3920
SP.Syn.Abst.26	7809	1440
SP.Syn.Abst.27	3625	4169
SP.Syn.Abst.28	1876	4821
SP.Syn.Abst.29	6535	2934
SP.Syn.Abst.30	6893	665
SP.Syn.Abst.31	15783	4714
SP.Syn.Abst.32	10580	7322
SP.Syn.Abst.33	5571	3268
SP.Syn.Abst.34	9058	12560
SP.Syn.Abst.35	4888	5836
SP.Syn.Abst.36	7987	7098
SP.Syn.Abst.37	3946	3588
SP.Syn.Abst.38	4334	6508
SP.Syn.Abst.39	6178	5040
SP.Syn.Abst.40	6590	3626
SP.Syn.Abst.41	4255	3776
SP.Syn.Abst.42	560	2219
SP.Syn.Abst.43	4825	4969
SP.Syn.Abst.44	3950	7915
SP.Syn.Abst.45	5739	11356
SP.Syn.Abst.46	3355	3161
SP.Syn.Abst.47	4686	3531
SP.Syn.Abst.48	5596	4277
SP.Syn.Abst.49	3848	1759
SP.Syn.Abst.50	3847	4759
SP.Syn.Abst.51	5346	2220
SP.Syn.Abst.52	6533	5670
SP.Syn.Abst.53	4412	6002
SP.Syn.Abst.54	2957	5273
SP.Syn.Abst.55	8747	3248
SP.Syn.Abst.56	7278	4236
SP.Syn.Abst.57	3084	8952
SP.Syn.Abst.58	7762	3222
SP.Syn.Abst.59	15150	1760
SP.Syn.Abst.60	4081	6521
SP.Syn.Abst.61	9701	5073
SP.Syn.Abst.62	7491	7402
SP.Syn.Abst.63	2838	6827
SP.Syn.Abst.64	8317	3218
SP.Syn.Abst.65	1912	3480
SP.Syn.Abst.66	1933	3926
SP.Syn.Abst.67	2755	6110
SP.Syn.Abst.68	16445	5329
SP.Syn.Abst.69	6523	7819
SP.Syn.Abst.70	2014	4638
SP.Syn.Abst.71	7994	4637
SP.Syn.Abst.72	3996	14461
SP.Syn.Abst.73	2705	3194
SP.Syn.Abst.74	5955	3507
SP.Syn.Abst.75	3137	6024
SP.Syn.Abst.76	6151	2138
SP.Syn.Abst.77	5659	3106
SP.Syn.Abst.78	5920	4010
SP.Syn.Abst.79	6166	9781
SP.Syn.Abst.80	7908	5230
SP.Syn.Abst.81	3370	3745
SP.Syn.Abst.82	5732	565
SP.Syn.Abst.83	4284	5596
SP.Syn.Abst.84	3898	3999
SP.Syn.Abst.85	8429	4083
SP.Syn.Abst.86	5354	5214
SP.Syn.Abst.87	3323	9168
SP.Syn.Abst.88	5881	10882
SP.Syn.Abst.89	2052	12593
SP.Syn.Abst.90	4814	1055
SP.Syn.Abst.91	3007	2671
SP.Syn.Abst.92	2925	2784
SP.Syn.Abst.93	2230	2319
