Samples	SBS96A	SBS96B
SP.Syn.Abst.1	2.27E+01	2.27E+01
SP.Syn.Abst.2	1.70E+01	1.70E+01
SP.Syn.Abst.3	1.96E+01	1.96E+01
SP.Syn.Abst.4	1.78E+01	1.78E+01
SP.Syn.Abst.5	2.57E+01	2.57E+01
SP.Syn.Abst.6	2.67E+01	2.67E+01
SP.Syn.Abst.7	2.17E+01	2.17E+01
SP.Syn.Abst.8	1.68E+01	1.68E+01
SP.Syn.Abst.9	1.84E+01	1.84E+01
SP.Syn.Abst.10	3.02E+01	3.02E+01
SP.Syn.Abst.11	2.35E+01	2.35E+01
SP.Syn.Abst.12	3.16E+01	3.16E+01
SP.Syn.Abst.13	3.23E+01	3.23E+01
SP.Syn.Abst.14	3.43E+01	3.43E+01
SP.Syn.Abst.15	2.55E+01	2.55E+01
SP.Syn.Abst.16	2.56E+01	2.56E+01
SP.Syn.Abst.17	4.62E+01	4.62E+01
SP.Syn.Abst.18	3.72E+01	3.72E+01
SP.Syn.Abst.19	2.95E+01	2.95E+01
SP.Syn.Abst.20	1.81E+01	1.81E+01
SP.Syn.Abst.21	2.45E+01	2.45E+01
SP.Syn.Abst.22	2.68E+01	2.68E+01
SP.Syn.Abst.23	2.06E+01	2.06E+01
SP.Syn.Abst.24	3.70E+01	3.70E+01
SP.Syn.Abst.25	3.02E+01	3.02E+01
SP.Syn.Abst.26	3.29E+01	3.29E+01
SP.Syn.Abst.27	2.45E+01	2.45E+01
SP.Syn.Abst.28	2.37E+01	2.37E+01
SP.Syn.Abst.29	3.28E+01	3.28E+01
SP.Syn.Abst.30	3.24E+01	3.24E+01
SP.Syn.Abst.31	6.57E+01	6.57E+01
SP.Syn.Abst.32	4.66E+01	4.66E+01
SP.Syn.Abst.33	2.52E+01	2.52E+01
SP.Syn.Abst.34	5.34E+01	5.34E+01
SP.Syn.Abst.35	3.14E+01	3.14E+01
SP.Syn.Abst.36	3.91E+01	3.91E+01
SP.Syn.Abst.37	2.20E+01	2.20E+01
SP.Syn.Abst.38	2.88E+01	2.88E+01
SP.Syn.Abst.39	2.98E+01	2.98E+01
SP.Syn.Abst.40	3.04E+01	3.04E+01
SP.Syn.Abst.41	2.26E+01	2.26E+01
SP.Syn.Abst.42	1.20E+01	1.20E+01
SP.Syn.Abst.43	2.75E+01	2.75E+01
SP.Syn.Abst.44	3.28E+01	3.28E+01
SP.Syn.Abst.45	4.48E+01	4.48E+01
SP.Syn.Abst.46	2.10E+01	2.10E+01
SP.Syn.Abst.47	2.32E+01	2.32E+01
SP.Syn.Abst.48	2.68E+01	2.68E+01
SP.Syn.Abst.49	1.96E+01	1.96E+01
SP.Syn.Abst.50	2.42E+01	2.42E+01
SP.Syn.Abst.51	2.66E+01	2.66E+01
SP.Syn.Abst.52	3.29E+01	3.29E+01
SP.Syn.Abst.53	2.64E+01	2.64E+01
SP.Syn.Abst.54	2.23E+01	2.23E+01
SP.Syn.Abst.55	3.76E+01	3.76E+01
SP.Syn.Abst.56	3.49E+01	3.49E+01
SP.Syn.Abst.57	3.56E+01	3.56E+01
SP.Syn.Abst.58	3.25E+01	3.25E+01
SP.Syn.Abst.59	6.28E+01	6.28E+01
SP.Syn.Abst.60	2.85E+01	2.85E+01
SP.Syn.Abst.61	4.46E+01	4.46E+01
SP.Syn.Abst.62	3.78E+01	3.78E+01
SP.Syn.Abst.63	2.70E+01	2.70E+01
SP.Syn.Abst.64	3.36E+01	3.36E+01
SP.Syn.Abst.65	1.83E+01	1.83E+01
SP.Syn.Abst.66	1.89E+01	1.89E+01
SP.Syn.Abst.67	2.61E+01	2.61E+01
SP.Syn.Abst.68	7.30E+01	7.30E+01
SP.Syn.Abst.69	3.79E+01	3.79E+01
SP.Syn.Abst.70	2.17E+01	2.17E+01
SP.Syn.Abst.71	3.76E+01	3.76E+01
SP.Syn.Abst.72	5.43E+01	5.43E+01
SP.Syn.Abst.73	1.88E+01	1.88E+01
SP.Syn.Abst.74	2.92E+01	2.92E+01
SP.Syn.Abst.75	2.69E+01	2.69E+01
SP.Syn.Abst.76	2.75E+01	2.75E+01
SP.Syn.Abst.77	2.48E+01	2.48E+01
SP.Syn.Abst.78	2.84E+01	2.84E+01
SP.Syn.Abst.79	4.19E+01	4.19E+01
SP.Syn.Abst.80	3.90E+01	3.90E+01
SP.Syn.Abst.81	2.09E+01	2.09E+01
SP.Syn.Abst.82	2.56E+01	2.56E+01
SP.Syn.Abst.83	2.97E+01	2.97E+01
SP.Syn.Abst.84	2.17E+01	2.17E+01
SP.Syn.Abst.85	3.92E+01	3.92E+01
SP.Syn.Abst.86	3.08E+01	3.08E+01
SP.Syn.Abst.87	3.55E+01	3.55E+01
SP.Syn.Abst.88	4.60E+01	4.60E+01
SP.Syn.Abst.89	4.62E+01	4.62E+01
SP.Syn.Abst.90	2.05E+01	2.05E+01
SP.Syn.Abst.91	1.85E+01	1.85E+01
SP.Syn.Abst.92	1.86E+01	1.86E+01
SP.Syn.Abst.93	1.51E+01	1.51E+01
SP.Syn.Abst.94	2.06E+01	2.06E+01
SP.Syn.Abst.95	5.15E+01	5.15E+01
SP.Syn.Abst.96	2.31E+01	2.31E+01
SP.Syn.Abst.97	2.46E+01	2.46E+01
SP.Syn.Abst.98	3.26E+01	3.26E+01
SP.Syn.Abst.99	2.93E+01	2.93E+01
SP.Syn.Abst.100	3.44E+01	3.44E+01
SP.Syn.Abst.101	2.08E+01	2.08E+01
SP.Syn.Abst.102	2.37E+01	2.37E+01
SP.Syn.Abst.103	2.78E+01	2.78E+01
SP.Syn.Abst.104	2.39E+01	2.39E+01
SP.Syn.Abst.105	3.60E+01	3.60E+01
SP.Syn.Abst.106	1.69E+01	1.69E+01
SP.Syn.Abst.107	2.41E+01	2.41E+01
SP.Syn.Abst.108	1.46E+01	1.46E+01
SP.Syn.Abst.109	1.84E+01	1.84E+01
SP.Syn.Abst.110	3.79E+01	3.79E+01
SP.Syn.Abst.111	2.72E+01	2.72E+01
SP.Syn.Abst.112	2.82E+01	2.82E+01
SP.Syn.Abst.113	2.72E+01	2.72E+01
SP.Syn.Abst.114	2.04E+01	2.04E+01
SP.Syn.Abst.115	2.53E+01	2.53E+01
SP.Syn.Abst.116	2.41E+01	2.41E+01
SP.Syn.Abst.117	3.26E+01	3.26E+01
SP.Syn.Abst.118	2.07E+01	2.07E+01
SP.Syn.Abst.119	2.80E+01	2.80E+01
SP.Syn.Abst.120	2.25E+01	2.25E+01
SP.Syn.Abst.121	4.65E+01	4.65E+01
SP.Syn.Abst.122	2.59E+01	2.59E+01
SP.Syn.Abst.123	3.10E+01	3.10E+01
SP.Syn.Abst.124	3.26E+01	3.26E+01
SP.Syn.Abst.125	5.31E+01	5.31E+01
SP.Syn.Abst.126	3.23E+01	3.23E+01
SP.Syn.Abst.127	3.45E+01	3.45E+01
SP.Syn.Abst.128	2.23E+01	2.23E+01
SP.Syn.Abst.129	2.07E+01	2.07E+01
SP.Syn.Abst.130	2.19E+01	2.19E+01
SP.Syn.Abst.131	2.35E+01	2.35E+01
SP.Syn.Abst.132	3.36E+01	3.36E+01
SP.Syn.Abst.133	1.66E+01	1.66E+01
SP.Syn.Abst.134	3.04E+01	3.04E+01
SP.Syn.Abst.135	4.48E+01	4.48E+01
SP.Syn.Abst.136	3.52E+01	3.52E+01
SP.Syn.Abst.137	1.02E+01	1.02E+01
SP.Syn.Abst.138	3.85E+01	3.85E+01
SP.Syn.Abst.139	3.33E+01	3.33E+01
SP.Syn.Abst.140	2.21E+01	2.21E+01
SP.Syn.Abst.141	2.38E+01	2.38E+01
SP.Syn.Abst.142	2.84E+01	2.84E+01
SP.Syn.Abst.143	3.30E+01	3.30E+01
SP.Syn.Abst.144	2.11E+01	2.11E+01
SP.Syn.Abst.145	2.67E+01	2.67E+01
SP.Syn.Abst.146	2.47E+01	2.47E+01
SP.Syn.Abst.147	3.54E+01	3.54E+01
SP.Syn.Abst.148	2.46E+01	2.46E+01
SP.Syn.Abst.149	3.05E+01	3.05E+01
SP.Syn.Abst.150	2.92E+01	2.92E+01
SP.Syn.Abst.151	3.08E+01	3.08E+01
SP.Syn.Abst.152	4.11E+01	4.11E+01
SP.Syn.Abst.153	2.11E+01	2.11E+01
SP.Syn.Abst.154	9.53E+01	9.53E+01
SP.Syn.Abst.155	3.55E+01	3.55E+01
SP.Syn.Abst.156	2.51E+01	2.51E+01
SP.Syn.Abst.157	2.10E+01	2.10E+01
SP.Syn.Abst.158	3.68E+01	3.68E+01
SP.Syn.Abst.159	3.81E+01	3.81E+01
SP.Syn.Abst.160	2.31E+01	2.31E+01
SP.Syn.Abst.161	3.17E+01	3.17E+01
SP.Syn.Abst.162	2.30E+01	2.30E+01
SP.Syn.Abst.163	3.37E+01	3.37E+01
SP.Syn.Abst.164	2.81E+01	2.81E+01
SP.Syn.Abst.165	1.91E+01	1.91E+01
SP.Syn.Abst.166	3.60E+01	3.60E+01
SP.Syn.Abst.167	2.71E+01	2.71E+01
SP.Syn.Abst.168	2.02E+01	2.02E+01
SP.Syn.Abst.169	1.99E+01	1.99E+01
SP.Syn.Abst.170	1.72E+01	1.72E+01
SP.Syn.Abst.171	2.21E+01	2.21E+01
SP.Syn.Abst.172	1.73E+01	1.73E+01
SP.Syn.Abst.173	2.80E+01	2.80E+01
SP.Syn.Abst.174	3.56E+01	3.56E+01
SP.Syn.Abst.175	2.10E+01	2.10E+01
SP.Syn.Abst.176	1.49E+01	1.49E+01
SP.Syn.Abst.177	3.49E+01	3.49E+01
SP.Syn.Abst.178	2.22E+01	2.22E+01
SP.Syn.Abst.179	2.60E+01	2.60E+01
SP.Syn.Abst.180	3.08E+01	3.08E+01
SP.Syn.Abst.181	2.02E+01	2.02E+01
SP.Syn.Abst.182	2.15E+01	2.15E+01
SP.Syn.Abst.183	2.99E+01	2.99E+01
SP.Syn.Abst.184	1.12E+01	1.12E+01
SP.Syn.Abst.185	2.79E+01	2.79E+01
SP.Syn.Abst.186	1.58E+01	1.58E+01
SP.Syn.Abst.187	2.96E+01	2.96E+01
SP.Syn.Abst.188	2.00E+01	2.00E+01
SP.Syn.Abst.189	1.35E+01	1.35E+01
SP.Syn.Abst.190	4.06E+01	4.06E+01
SP.Syn.Abst.191	2.36E+01	2.36E+01
SP.Syn.Abst.192	2.78E+01	2.78E+01
SP.Syn.Abst.193	2.16E+01	2.16E+01
SP.Syn.Abst.194	1.84E+01	1.84E+01
SP.Syn.Abst.195	3.84E+01	3.84E+01
SP.Syn.Abst.196	4.58E+01	4.58E+01
SP.Syn.Abst.197	3.29E+01	3.29E+01
SP.Syn.Abst.198	2.60E+01	2.60E+01
SP.Syn.Abst.199	1.78E+01	1.78E+01
SP.Syn.Abst.200	1.82E+01	1.82E+01
SP.Syn.Abst.201	2.08E+01	2.08E+01
SP.Syn.Abst.202	2.08E+01	2.08E+01
SP.Syn.Abst.203	2.82E+01	2.82E+01
SP.Syn.Abst.204	2.62E+01	2.62E+01
SP.Syn.Abst.205	1.73E+01	1.73E+01
SP.Syn.Abst.206	2.67E+01	2.67E+01
SP.Syn.Abst.207	3.33E+01	3.33E+01
SP.Syn.Abst.208	2.78E+01	2.78E+01
SP.Syn.Abst.209	2.41E+01	2.41E+01
SP.Syn.Abst.210	3.64E+01	3.64E+01
SP.Syn.Abst.211	4.70E+01	4.70E+01
SP.Syn.Abst.212	2.87E+01	2.87E+01
SP.Syn.Abst.213	3.77E+01	3.77E+01
SP.Syn.Abst.214	1.49E+01	1.49E+01
SP.Syn.Abst.215	2.92E+01	2.92E+01
SP.Syn.Abst.216	2.67E+01	2.67E+01
SP.Syn.Abst.217	4.02E+01	4.02E+01
SP.Syn.Abst.218	3.52E+01	3.52E+01
SP.Syn.Abst.219	3.25E+01	3.25E+01
