NMF_Replicate	L1	L1 %	L2	L2 %	KL Divergence	Correlation	Convergence Iterations
1	804.656	8.958	108.275	10.231	0.008	0.977	60000.0
2	801.079	8.919	107.94	10.194	0.008	0.977	30000.0
3	802.328	8.94	107.998	10.207	0.008	0.977	20000.0
4	800.982	8.916	107.834	10.191	0.008	0.977	40000.0
5	800.515	8.893	107.769	10.16	0.008	0.977	40000.0
6	803.377	8.932	108.222	10.213	0.008	0.977	20000.0
7	804.362	8.938	108.312	10.213	0.008	0.977	30000.0
8	803.586	8.949	108.092	10.21	0.008	0.977	30000.0
9	803.312	8.927	108.051	10.191	0.008	0.977	30000.0
10	801.31	8.909	108.03	10.182	0.008	0.977	30000.0
11	801.627	8.931	107.836	10.199	0.008	0.977	40000.0
12	800.701	8.907	107.961	10.192	0.008	0.977	40000.0
13	799.332	8.896	107.69	10.16	0.008	0.977	40000.0
14	802.131	8.934	108.139	10.216	0.008	0.977	60000.0
15	803.495	8.949	108.139	10.209	0.008	0.977	40000.0
16	804.233	8.955	108.366	10.231	0.008	0.977	40000.0
17	800.085	8.915	107.871	10.203	0.008	0.977	50000.0
18	804.948	8.943	108.437	10.216	0.008	0.977	20000.0
19	801.426	8.912	107.843	10.185	0.008	0.977	70000.0
20	800.853	8.916	107.592	10.159	0.008	0.977	50000.0
21	804.1	8.951	108.287	10.227	0.008	0.977	40000.0
22	800.315	8.911	107.742	10.175	0.008	0.977	20000.0
23	804.129	8.951	108.281	10.22	0.008	0.977	20000.0
24	801.371	8.908	107.893	10.185	0.008	0.977	50000.0
25	800.922	8.908	108.045	10.208	0.008	0.977	40000.0
26	805.786	8.967	108.35	10.234	0.008	0.977	40000.0
27	800.125	8.901	107.675	10.167	0.008	0.977	30000.0
28	799.666	8.898	107.767	10.174	0.008	0.977	30000.0
29	803.329	8.929	108.337	10.216	0.008	0.977	40000.0
30	802.032	8.926	107.924	10.191	0.008	0.977	50000.0
31	800.115	8.899	107.7	10.164	0.008	0.977	40000.0
32	801.701	8.932	107.813	10.199	0.008	0.977	50000.0
33	802.616	8.926	108.182	10.212	0.008	0.977	30000.0
34	800.227	8.906	107.887	10.194	0.008	0.977	20000.0
35	798.049	8.878	107.484	10.144	0.008	0.978	60000.0
36	801.34	8.921	107.835	10.186	0.008	0.977	20000.0
37	801.051	8.91	107.86	10.177	0.008	0.977	50000.0
38	802.465	8.924	108.079	10.198	0.008	0.977	30000.0
39	799.668	8.91	107.585	10.175	0.008	0.977	60000.0
40	805.205	8.955	108.412	10.226	0.008	0.977	50000.0
41	800.635	8.91	108.009	10.192	0.008	0.977	40000.0
42	799.331	8.893	107.555	10.153	0.008	0.977	20000.0
43	799.002	8.905	107.622	10.166	0.008	0.977	30000.0
44	802.059	8.939	108.097	10.222	0.008	0.977	50000.0
45	799.92	8.916	107.993	10.208	0.008	0.977	50000.0
46	802.321	8.919	108.066	10.196	0.008	0.977	30000.0
47	801.416	8.931	107.929	10.204	0.008	0.977	60000.0
48	798.982	8.914	107.676	10.19	0.008	0.977	60000.0
49	798.579	8.888	107.704	10.169	0.008	0.977	40000.0
50	803.125	8.924	108.187	10.198	0.008	0.977	20000.0
51	802.955	8.925	108.396	10.224	0.008	0.977	50000.0
52	805.007	8.944	108.27	10.212	0.008	0.977	50000.0
53	800.596	8.921	107.67	10.181	0.008	0.977	80000.0
54	802.109	8.932	107.796	10.189	0.008	0.977	60000.0
55	804.891	8.954	108.53	10.242	0.008	0.977	80000.0
56	798.934	8.909	107.637	10.186	0.008	0.977	20000.0
57	800.269	8.905	107.678	10.159	0.008	0.977	60000.0
58	800.723	8.923	107.981	10.212	0.008	0.977	20000.0
59	803.683	8.948	108.203	10.224	0.008	0.977	60000.0
60	799.568	8.895	107.721	10.168	0.008	0.977	50000.0
61	803.579	8.951	108.188	10.229	0.008	0.977	40000.0
62	803.408	8.927	108.431	10.225	0.008	0.977	60000.0
63	806.794	8.971	108.586	10.244	0.008	0.977	20000.0
64	802.499	8.932	108.084	10.2	0.008	0.977	30000.0
65	803.176	8.935	108.205	10.214	0.008	0.977	20000.0
66	801.652	8.923	107.933	10.193	0.008	0.977	20000.0
67	798.479	8.894	107.593	10.172	0.008	0.977	30000.0
68	796.727	8.87	107.53	10.155	0.008	0.977	20000.0
69	801.547	8.919	107.843	10.188	0.008	0.977	70000.0
70	801.792	8.932	108.145	10.218	0.008	0.977	40000.0
71	801.616	8.92	107.876	10.184	0.008	0.977	20000.0
72	799.814	8.902	107.808	10.178	0.008	0.977	20000.0
73	800.786	8.926	107.783	10.189	0.008	0.977	20000.0
74	802.708	8.947	108.298	10.233	0.008	0.977	40000.0
75	805.604	8.974	108.406	10.241	0.008	0.977	50000.0
76	800.42	8.908	107.807	10.178	0.008	0.977	50000.0
77	799.76	8.9	107.638	10.169	0.008	0.977	20000.0
78	802.927	8.933	108.163	10.21	0.008	0.977	50000.0
79	801.483	8.933	107.797	10.193	0.008	0.977	30000.0
80	800.576	8.914	107.773	10.181	0.008	0.977	60000.0
81	798.995	8.888	107.602	10.154	0.008	0.978	30000.0
82	802.135	8.916	107.927	10.177	0.008	0.977	30000.0
83	798.861	8.892	107.678	10.174	0.008	0.977	30000.0
84	801.318	8.924	107.79	10.186	0.008	0.977	40000.0
85	801.851	8.922	108.047	10.2	0.008	0.977	40000.0
86	801.237	8.923	108.044	10.213	0.008	0.977	30000.0
87	804.276	8.954	108.122	10.216	0.008	0.977	30000.0
88	802.021	8.927	108.089	10.208	0.008	0.977	30000.0
89	802.382	8.924	108.131	10.206	0.008	0.977	20000.0
90	800.769	8.909	107.894	10.186	0.008	0.977	40000.0
91	799.679	8.91	107.661	10.183	0.008	0.977	20000.0
92	801.073	8.915	107.711	10.169	0.008	0.977	20000.0
93	801.634	8.922	108.038	10.206	0.008	0.977	40000.0
94	802.652	8.935	108.167	10.219	0.008	0.977	50000.0
95	799.1	8.907	107.567	10.186	0.008	0.977	80000.0
96	801.041	8.922	107.801	10.186	0.008	0.977	60000.0
97	802.703	8.936	108.07	10.199	0.008	0.977	40000.0
