Samples	SBS96A	SBS96B	SBS96C
SP.Syn.Abst.1	2548	2654	1590
SP.Syn.Abst.2	3434	1331	514
SP.Syn.Abst.3	3126	1783	675
SP.Syn.Abst.4	1313	2748	820
SP.Syn.Abst.5	4284	2960	869
SP.Syn.Abst.6	2803	5333	1012
SP.Syn.Abst.7	3363	3680	717
SP.Syn.Abst.8	2475	2191	588
SP.Syn.Abst.9	166	1404	2728
SP.Syn.Abst.10	5534	5757	1089
SP.Syn.Abst.11	4103	3994	1122
SP.Syn.Abst.12	1863	3733	3788
SP.Syn.Abst.13	6395	5266	803
SP.Syn.Abst.14	6796	6072	751
SP.Syn.Abst.15	3110	2992	1894
SP.Syn.Abst.16	2013	5326	467
SP.Syn.Abst.17	6788	4011	7234
SP.Syn.Abst.18	3156	7429	1412
SP.Syn.Abst.19	4659	5455	1001
SP.Syn.Abst.20	2473	2258	816
SP.Syn.Abst.21	5136	2516	343
SP.Syn.Abst.22	5212	3123	933
SP.Syn.Abst.23	3593	2973	601
SP.Syn.Abst.24	8818	2767	1231
SP.Syn.Abst.25	3467	5859	938
SP.Syn.Abst.26	1266	7627	356
SP.Syn.Abst.27	3602	2516	1676
SP.Syn.Abst.28	4343	1915	439
SP.Syn.Abst.29	2083	2125	5261
SP.Syn.Abst.30	577	6798	183
SP.Syn.Abst.31	4182	15355	960
SP.Syn.Abst.32	6539	10159	1204
SP.Syn.Abst.33	2964	5733	142
SP.Syn.Abst.34	11362	9442	814
SP.Syn.Abst.35	5026	3223	2475
SP.Syn.Abst.36	6090	5725	3270
SP.Syn.Abst.37	3255	4118	161
SP.Syn.Abst.38	5805	3956	1081
SP.Syn.Abst.39	4514	5992	712
SP.Syn.Abst.40	3187	5981	1048
SP.Syn.Abst.41	3372	4040	619
SP.Syn.Abst.42	1912	9	858
SP.Syn.Abst.43	4474	4818	502
SP.Syn.Abst.44	7072	3596	1197
SP.Syn.Abst.45	10135	5152	1808
SP.Syn.Abst.46	2766	2751	999
SP.Syn.Abst.47	3144	4417	656
SP.Syn.Abst.48	3691	4379	1803
SP.Syn.Abst.49	1426	2606	1575
SP.Syn.Abst.50	4285	3843	478
SP.Syn.Abst.51	1955	5004	607
SP.Syn.Abst.52	5003	5759	1441
SP.Syn.Abst.53	5053	1891	3470
SP.Syn.Abst.54	4679	2495	1056
SP.Syn.Abst.55	2455	5001	4539
SP.Syn.Abst.56	3830	7399	285
SP.Syn.Abst.57	7971	2542	1523
SP.Syn.Abst.58	2777	6793	1414
SP.Syn.Abst.59	984	10182	5744
SP.Syn.Abst.60	5734	3123	1745
SP.Syn.Abst.61	4447	8760	1567
SP.Syn.Abst.62	6395	5495	3003
SP.Syn.Abst.63	6186	3143	336
SP.Syn.Abst.64	2837	7859	839
SP.Syn.Abst.65	3095	1653	644
SP.Syn.Abst.66	3558	2107	194
SP.Syn.Abst.67	5461	2505	899
SP.Syn.Abst.68	4774	16320	680
SP.Syn.Abst.69	7024	6399	919
SP.Syn.Abst.70	4203	2221	228
SP.Syn.Abst.71	4008	6699	1924
SP.Syn.Abst.72	13058	4371	1028
SP.Syn.Abst.73	2822	2313	764
SP.Syn.Abst.74	2893	3906	2663
SP.Syn.Abst.75	5361	2716	1084
SP.Syn.Abst.76	1879	5805	605
SP.Syn.Abst.77	2767	5428	570
SP.Syn.Abst.78	3577	5660	693
SP.Syn.Abst.79	8706	5475	1766
SP.Syn.Abst.80	4745	8172	221
SP.Syn.Abst.81	3245	2438	1432
SP.Syn.Abst.82	470	5477	350
SP.Syn.Abst.83	5003	4024	853
SP.Syn.Abst.84	3455	2817	1625
SP.Syn.Abst.85	3223	4877	4412
SP.Syn.Abst.86	4634	4894	1040
SP.Syn.Abst.87	8185	2907	1399
SP.Syn.Abst.88	9825	6098	840
SP.Syn.Abst.89	11399	2603	643
SP.Syn.Abst.90	796	3572	1501
SP.Syn.Abst.91	2253	1873	1552
SP.Syn.Abst.92	2507	2920	282
SP.Syn.Abst.93	2038	1861	650
SP.Syn.Abst.94	3875	2139	1038
SP.Syn.Abst.95	9053	10154	1300
SP.Syn.Abst.96	2959	2645	2214
SP.Syn.Abst.97	4299	3348	227
SP.Syn.Abst.98	5456	7125	495
SP.Syn.Abst.99	4985	4800	823
SP.Syn.Abst.100	7449	4068	824
SP.Syn.Abst.101	2731	921	3222
SP.Syn.Abst.102	1799	3283	1881
SP.Syn.Abst.103	4815	4019	663
SP.Syn.Abst.104	4116	3049	212
SP.Syn.Abst.105	7117	4342	1676
SP.Syn.Abst.106	239	2610	848
SP.Syn.Abst.107	3360	3900	472
SP.Syn.Abst.108	223	2463	571
SP.Syn.Abst.109	2917	3263	145
SP.Syn.Abst.110	2465	8222	709
SP.Syn.Abst.111	4174	4625	699
SP.Syn.Abst.112	3530	4001	1741
SP.Syn.Abst.113	1825	4813	1209
SP.Syn.Abst.114	3936	2389	717
SP.Syn.Abst.115	3960	4132	1390
SP.Syn.Abst.116	2127	4010	638
SP.Syn.Abst.117	6816	4557	1181
SP.Syn.Abst.118	1807	3784	594
SP.Syn.Abst.119	4255	3962	2127
SP.Syn.Abst.120	2874	3806	668
SP.Syn.Abst.121	9062	8971	1197
SP.Syn.Abst.122	358	3730	1902
SP.Syn.Abst.123	3387	2194	4632
SP.Syn.Abst.124	3002	7141	725
SP.Syn.Abst.125	11805	8451	1038
SP.Syn.Abst.126	7058	5697	459
SP.Syn.Abst.127	7372	4465	803
SP.Syn.Abst.128	1810	3940	253
SP.Syn.Abst.129	2017	2510	1899
SP.Syn.Abst.130	2710	4310	511
SP.Syn.Abst.131	1421	4282	833
SP.Syn.Abst.132	6363	6370	1182
SP.Syn.Abst.133	3545	2091	684
SP.Syn.Abst.134	6170	3357	947
SP.Syn.Abst.135	5161	9536	654
SP.Syn.Abst.136	2833	7346	553
SP.Syn.Abst.137	957	1234	543
SP.Syn.Abst.138	8501	5729	2221
SP.Syn.Abst.139	5878	4707	824
SP.Syn.Abst.140	329	3652	932
SP.Syn.Abst.141	2975	3618	692
SP.Syn.Abst.142	5698	3636	706
SP.Syn.Abst.143	6807	2526	1311
SP.Syn.Abst.144	3480	2559	182
SP.Syn.Abst.145	4358	3801	1415
SP.Syn.Abst.146	4403	3387	704
SP.Syn.Abst.147	3981	6767	363
SP.Syn.Abst.148	4031	3434	779
SP.Syn.Abst.149	5318	4601	1488
SP.Syn.Abst.150	6101	3309	322
SP.Syn.Abst.151	3156	6149	1485
SP.Syn.Abst.152	9507	3561	1425
SP.Syn.Abst.153	334	3692	949
SP.Syn.Abst.154	20033	14726	6196
SP.Syn.Abst.155	3673	6429	1494
SP.Syn.Abst.156	2661	3406	1548
SP.Syn.Abst.157	3229	3373	484
SP.Syn.Abst.158	3438	7944	1455
SP.Syn.Abst.159	9399	4041	1240
SP.Syn.Abst.160	2039	2505	2612
SP.Syn.Abst.161	7069	2108	2366
SP.Syn.Abst.162	2220	1460	3039
SP.Syn.Abst.163	7647	4758	691
SP.Syn.Abst.164	4241	5850	209
SP.Syn.Abst.165	2749	3158	728
SP.Syn.Abst.166	8715	2437	485
SP.Syn.Abst.167	3477	5699	535
SP.Syn.Abst.168	3006	3433	1120
SP.Syn.Abst.169	279	3041	1048
SP.Syn.Abst.170	2571	2539	275
SP.Syn.Abst.171	2631	3923	935
SP.Syn.Abst.172	2244	2591	764
SP.Syn.Abst.173	2976	5258	468
SP.Syn.Abst.174	606	6865	1021
SP.Syn.Abst.175	2084	2535	2031
SP.Syn.Abst.176	216	2389	803
SP.Syn.Abst.177	3156	6706	1220
SP.Syn.Abst.178	417	4905	99
SP.Syn.Abst.179	3276	5012	1086
SP.Syn.Abst.180	5587	5494	1338
SP.Syn.Abst.181	2464	2583	1070
SP.Syn.Abst.182	1304	3913	807
SP.Syn.Abst.183	3948	6654	192
SP.Syn.Abst.184	150	1644	666
SP.Syn.Abst.185	4423	5655	829
SP.Syn.Abst.186	2534	2207	127
SP.Syn.Abst.187	4845	5077	433
SP.Syn.Abst.188	2701	2175	1817
SP.Syn.Abst.189	1922	1696	382
SP.Syn.Abst.190	5426	8229	948
SP.Syn.Abst.191	3293	4217	777
SP.Syn.Abst.192	4809	3306	580
SP.Syn.Abst.193	2932	3106	1810
SP.Syn.Abst.194	2957	2448	629
SP.Syn.Abst.195	657	7732	373
