Samples	SBS96A	SBS96B	SBS96C
SP.Syn.Abst.1	1.87E+01	2.27E+01	2.57E+01
SP.Syn.Abst.2	1.77E+01	1.57E+01	1.34E+01
SP.Syn.Abst.3	1.58E+01	1.79E+01	1.34E+01
SP.Syn.Abst.4	1.54E+01	1.69E+01	1.58E+01
SP.Syn.Abst.5	2.43E+01	2.35E+01	1.79E+01
SP.Syn.Abst.6	2.36E+01	2.47E+01	1.93E+01
SP.Syn.Abst.7	1.97E+01	2.08E+01	1.50E+01
SP.Syn.Abst.8	1.51E+01	1.59E+01	1.43E+01
SP.Syn.Abst.9	2.34E+01	4.07E+01	3.52E+01
SP.Syn.Abst.10	3.29E+01	3.29E+01	2.07E+01
SP.Syn.Abst.11	2.17E+01	2.33E+01	2.06E+01
SP.Syn.Abst.12	2.81E+01	5.06E+01	5.14E+01
SP.Syn.Abst.13	3.78E+01	3.44E+01	1.72E+01
SP.Syn.Abst.14	3.84E+01	3.42E+01	1.72E+01
SP.Syn.Abst.15	2.13E+01	2.63E+01	2.76E+01
SP.Syn.Abst.16	2.39E+01	2.44E+01	1.42E+01
SP.Syn.Abst.17	5.53E+01	8.26E+01	8.58E+01
SP.Syn.Abst.18	3.17E+01	3.23E+01	2.43E+01
SP.Syn.Abst.19	3.04E+01	2.92E+01	1.89E+01
SP.Syn.Abst.20	1.59E+01	1.52E+01	1.48E+01
SP.Syn.Abst.21	2.51E+01	2.44E+01	1.26E+01
SP.Syn.Abst.22	2.72E+01	2.55E+01	1.82E+01
SP.Syn.Abst.23	1.85E+01	1.85E+01	1.32E+01
SP.Syn.Abst.24	3.52E+01	3.18E+01	2.33E+01
SP.Syn.Abst.25	2.85E+01	2.92E+01	1.92E+01
SP.Syn.Abst.26	3.30E+01	3.15E+01	1.45E+01
SP.Syn.Abst.27	2.06E+01	2.29E+01	2.60E+01
SP.Syn.Abst.28	2.08E+01	1.87E+01	1.13E+01
SP.Syn.Abst.29	4.39E+01	7.25E+01	6.52E+01
SP.Syn.Abst.30	2.87E+01	2.99E+01	1.06E+01
SP.Syn.Abst.31	6.66E+01	6.64E+01	2.67E+01
SP.Syn.Abst.32	5.05E+01	4.80E+01	2.54E+01
SP.Syn.Abst.33	3.04E+01	2.97E+01	1.03E+01
SP.Syn.Abst.34	6.62E+01	6.50E+01	2.12E+01
SP.Syn.Abst.35	2.62E+01	3.20E+01	3.51E+01
SP.Syn.Abst.36	3.19E+01	3.78E+01	4.75E+01
SP.Syn.Abst.37	2.51E+01	2.47E+01	1.01E+01
SP.Syn.Abst.38	2.82E+01	2.58E+01	2.26E+01
SP.Syn.Abst.39	2.95E+01	2.78E+01	1.73E+01
SP.Syn.Abst.40	2.95E+01	2.76E+01	1.82E+01
SP.Syn.Abst.41	2.45E+01	2.48E+01	1.57E+01
SP.Syn.Abst.42	1.03E+01	5.84E+00	1.14E+01
SP.Syn.Abst.43	3.00E+01	2.98E+01	1.53E+01
SP.Syn.Abst.44	3.14E+01	2.77E+01	2.17E+01
SP.Syn.Abst.45	4.03E+01	3.31E+01	3.08E+01
SP.Syn.Abst.46	1.95E+01	1.93E+01	1.88E+01
SP.Syn.Abst.47	2.40E+01	2.38E+01	1.57E+01
SP.Syn.Abst.48	2.29E+01	2.67E+01	2.97E+01
SP.Syn.Abst.49	1.27E+01	2.12E+01	2.24E+01
SP.Syn.Abst.50	2.66E+01	2.70E+01	1.37E+01
SP.Syn.Abst.51	2.27E+01	2.47E+01	1.52E+01
SP.Syn.Abst.52	2.90E+01	2.70E+01	2.37E+01
SP.Syn.Abst.53	2.89E+01	4.21E+01	4.41E+01
SP.Syn.Abst.54	2.22E+01	2.16E+01	1.91E+01
SP.Syn.Abst.55	3.05E+01	5.54E+01	6.02E+01
SP.Syn.Abst.56	3.82E+01	3.77E+01	1.23E+01
SP.Syn.Abst.57	3.16E+01	2.75E+01	2.48E+01
SP.Syn.Abst.58	2.66E+01	2.78E+01	2.32E+01
SP.Syn.Abst.59	3.48E+01	7.08E+01	7.68E+01
SP.Syn.Abst.60	2.72E+01	2.57E+01	2.37E+01
SP.Syn.Abst.61	3.54E+01	3.42E+01	2.87E+01
SP.Syn.Abst.62	3.09E+01	3.39E+01	3.92E+01
SP.Syn.Abst.63	2.91E+01	2.86E+01	1.32E+01
SP.Syn.Abst.64	3.15E+01	3.30E+01	2.00E+01
SP.Syn.Abst.65	1.61E+01	1.64E+01	1.35E+01
SP.Syn.Abst.66	1.93E+01	1.90E+01	8.75E+00
SP.Syn.Abst.67	2.58E+01	2.30E+01	1.81E+01
SP.Syn.Abst.68	6.77E+01	6.59E+01	2.15E+01
SP.Syn.Abst.69	4.42E+01	3.92E+01	2.11E+01
SP.Syn.Abst.70	2.27E+01	2.31E+01	1.08E+01
SP.Syn.Abst.71	2.89E+01	3.13E+01	2.65E+01
SP.Syn.Abst.72	5.07E+01	4.79E+01	2.04E+01
SP.Syn.Abst.73	1.78E+01	1.69E+01	1.48E+01
SP.Syn.Abst.74	2.25E+01	3.57E+01	3.96E+01
SP.Syn.Abst.75	2.68E+01	2.41E+01	2.04E+01
SP.Syn.Abst.76	2.45E+01	2.20E+01	1.41E+01
SP.Syn.Abst.77	2.61E+01	2.70E+01	1.45E+01
SP.Syn.Abst.78	2.93E+01	2.94E+01	1.75E+01
SP.Syn.Abst.79	4.06E+01	3.82E+01	2.87E+01
SP.Syn.Abst.80	4.81E+01	4.63E+01	1.13E+01
SP.Syn.Abst.81	1.95E+01	1.94E+01	2.21E+01
SP.Syn.Abst.82	2.35E+01	2.57E+01	1.42E+01
SP.Syn.Abst.83	2.80E+01	2.69E+01	2.11E+01
SP.Syn.Abst.84	1.73E+01	2.19E+01	2.73E+01
SP.Syn.Abst.85	3.27E+01	5.56E+01	5.76E+01
SP.Syn.Abst.86	2.90E+01	2.86E+01	2.09E+01
SP.Syn.Abst.87	3.06E+01	2.69E+01	2.47E+01
SP.Syn.Abst.88	4.85E+01	4.59E+01	1.87E+01
SP.Syn.Abst.89	4.39E+01	3.97E+01	1.69E+01
SP.Syn.Abst.90	1.51E+01	2.16E+01	2.28E+01
SP.Syn.Abst.91	1.53E+01	2.21E+01	2.44E+01
SP.Syn.Abst.92	1.71E+01	1.65E+01	1.06E+01
SP.Syn.Abst.93	1.38E+01	1.57E+01	1.36E+01
SP.Syn.Abst.94	2.03E+01	1.90E+01	1.91E+01
SP.Syn.Abst.95	5.42E+01	5.07E+01	2.60E+01
SP.Syn.Abst.96	1.99E+01	2.95E+01	3.22E+01
SP.Syn.Abst.97	2.77E+01	2.54E+01	1.20E+01
SP.Syn.Abst.98	3.82E+01	3.85E+01	1.37E+01
SP.Syn.Abst.99	2.81E+01	2.88E+01	1.86E+01
SP.Syn.Abst.100	3.24E+01	3.13E+01	1.99E+01
SP.Syn.Abst.101	2.72E+01	4.13E+01	3.99E+01
SP.Syn.Abst.102	1.82E+01	2.40E+01	2.83E+01
SP.Syn.Abst.103	2.99E+01	2.85E+01	1.58E+01
SP.Syn.Abst.104	2.42E+01	2.54E+01	1.18E+01
SP.Syn.Abst.105	3.20E+01	2.87E+01	2.46E+01
SP.Syn.Abst.106	1.07E+01	1.69E+01	1.55E+01
SP.Syn.Abst.107	2.39E+01	2.38E+01	1.36E+01
SP.Syn.Abst.108	9.73E+00	1.23E+01	1.32E+01
SP.Syn.Abst.109	2.10E+01	2.23E+01	8.91E+00
SP.Syn.Abst.110	3.71E+01	3.38E+01	1.75E+01
SP.Syn.Abst.111	2.70E+01	2.50E+01	1.74E+01
SP.Syn.Abst.112	2.12E+01	2.27E+01	2.61E+01
SP.Syn.Abst.113	2.16E+01	2.36E+01	2.17E+01
SP.Syn.Abst.114	1.88E+01	1.94E+01	1.51E+01
SP.Syn.Abst.115	2.08E+01	2.38E+01	2.13E+01
SP.Syn.Abst.116	2.16E+01	2.26E+01	1.42E+01
SP.Syn.Abst.117	3.52E+01	2.96E+01	2.31E+01
SP.Syn.Abst.118	1.70E+01	1.90E+01	1.48E+01
SP.Syn.Abst.119	2.29E+01	2.66E+01	3.05E+01
SP.Syn.Abst.120	2.15E+01	2.24E+01	1.45E+01
SP.Syn.Abst.121	5.24E+01	4.90E+01	2.52E+01
SP.Syn.Abst.122	1.41E+01	2.80E+01	2.69E+01
SP.Syn.Abst.123	3.57E+01	5.93E+01	5.98E+01
SP.Syn.Abst.124	3.39E+01	3.21E+01	1.87E+01
SP.Syn.Abst.125	6.07E+01	5.78E+01	2.25E+01
SP.Syn.Abst.126	3.83E+01	3.88E+01	1.66E+01
SP.Syn.Abst.127	3.49E+01	3.25E+01	1.88E+01
SP.Syn.Abst.128	2.14E+01	2.19E+01	1.19E+01
SP.Syn.Abst.129	1.71E+01	2.63E+01	2.75E+01
SP.Syn.Abst.130	2.24E+01	2.13E+01	1.38E+01
SP.Syn.Abst.131	1.77E+01	2.23E+01	1.73E+01
SP.Syn.Abst.132	3.64E+01	3.32E+01	2.13E+01
SP.Syn.Abst.133	1.60E+01	1.59E+01	1.30E+01
SP.Syn.Abst.134	2.81E+01	2.55E+01	1.92E+01
SP.Syn.Abst.135	4.90E+01	4.87E+01	1.99E+01
SP.Syn.Abst.136	3.32E+01	3.31E+01	1.66E+01
SP.Syn.Abst.137	9.28E+00	1.01E+01	1.17E+01
SP.Syn.Abst.138	3.62E+01	3.23E+01	3.30E+01
SP.Syn.Abst.139	3.52E+01	3.02E+01	1.90E+01
SP.Syn.Abst.140	1.35E+01	1.72E+01	1.44E+01
SP.Syn.Abst.141	2.26E+01	2.05E+01	1.40E+01
SP.Syn.Abst.142	2.95E+01	2.60E+01	1.59E+01
SP.Syn.Abst.143	2.85E+01	2.53E+01	2.05E+01
SP.Syn.Abst.144	2.05E+01	2.26E+01	9.34E+00
SP.Syn.Abst.145	2.28E+01	2.47E+01	2.21E+01
SP.Syn.Abst.146	2.57E+01	2.42E+01	1.58E+01
SP.Syn.Abst.147	3.48E+01	3.49E+01	1.43E+01
SP.Syn.Abst.148	2.45E+01	2.09E+01	1.57E+01
SP.Syn.Abst.149	2.65E+01	2.72E+01	2.69E+01
SP.Syn.Abst.150	3.07E+01	3.04E+01	1.34E+01
SP.Syn.Abst.151	2.59E+01	2.76E+01	2.40E+01
SP.Syn.Abst.152	3.72E+01	3.30E+01	2.35E+01
SP.Syn.Abst.153	1.44E+01	1.55E+01	1.49E+01
SP.Syn.Abst.154	8.81E+01	7.17E+01	8.78E+01
SP.Syn.Abst.155	2.79E+01	3.04E+01	2.61E+01
SP.Syn.Abst.156	1.83E+01	2.04E+01	2.52E+01
SP.Syn.Abst.157	2.30E+01	2.25E+01	1.54E+01
SP.Syn.Abst.158	3.41E+01	3.15E+01	2.53E+01
SP.Syn.Abst.159	4.13E+01	3.53E+01	2.10E+01
SP.Syn.Abst.160	2.27E+01	3.54E+01	3.34E+01
SP.Syn.Abst.161	2.73E+01	2.67E+01	3.44E+01
SP.Syn.Abst.162	2.42E+01	3.90E+01	4.05E+01
SP.Syn.Abst.163	3.78E+01	3.65E+01	1.86E+01
SP.Syn.Abst.164	3.34E+01	3.46E+01	1.22E+01
SP.Syn.Abst.165	1.90E+01	1.94E+01	1.42E+01
SP.Syn.Abst.166	3.41E+01	3.52E+01	1.53E+01
SP.Syn.Abst.167	2.97E+01	3.03E+01	1.59E+01
SP.Syn.Abst.168	1.94E+01	2.02E+01	2.04E+01
SP.Syn.Abst.169	1.17E+01	1.64E+01	1.72E+01
SP.Syn.Abst.170	1.83E+01	1.96E+01	1.01E+01
SP.Syn.Abst.171	1.96E+01	2.13E+01	1.84E+01
SP.Syn.Abst.172	1.51E+01	1.70E+01	1.48E+01
SP.Syn.Abst.173	2.82E+01	2.67E+01	1.34E+01
SP.Syn.Abst.174	2.37E+01	2.72E+01	2.13E+01
SP.Syn.Abst.175	1.70E+01	2.68E+01	2.95E+01
SP.Syn.Abst.176	1.06E+01	1.62E+01	1.48E+01
SP.Syn.Abst.177	2.83E+01	2.95E+01	2.16E+01
SP.Syn.Abst.178	2.20E+01	2.28E+01	7.29E+00
SP.Syn.Abst.179	2.42E+01	2.57E+01	1.93E+01
SP.Syn.Abst.180	3.28E+01	3.07E+01	2.27E+01
SP.Syn.Abst.181	1.67E+01	1.92E+01	2.05E+01
SP.Syn.Abst.182	1.66E+01	2.07E+01	1.64E+01
SP.Syn.Abst.183	3.49E+01	3.42E+01	1.10E+01
