Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
SP.Syn.Abst.1	6792	1.0	23.068	0.34%	2.737	0.346%	1e-05	1.0
SP.Syn.Abst.2	5279	1.0	22.133	0.419%	2.646	0.433%	2e-05	1.0
SP.Syn.Abst.3	5584	1.0	22.729	0.407%	2.734	0.423%	2e-05	1.0
SP.Syn.Abst.4	4881	1.0	21.499	0.44%	2.604	0.453%	2e-05	1.0
SP.Syn.Abst.5	8113	1.0	24.188	0.298%	2.913	0.31%	1e-05	1.0
SP.Syn.Abst.6	9148	1.0	23.283	0.255%	2.708	0.251%	1e-05	1.0
SP.Syn.Abst.7	7760	1.0	21.048	0.271%	2.488	0.275%	1e-05	1.0
SP.Syn.Abst.8	5254	1.0	24.107	0.459%	2.843	0.466%	2e-05	1.0
SP.Syn.Abst.9	4298	1.0	23.368	0.544%	2.825	0.539%	4e-05	1.0
SP.Syn.Abst.10	12380	1.0	23.718	0.192%	2.848	0.197%	1e-05	1.0
SP.Syn.Abst.11	9219	1.0	23.408	0.254%	2.765	0.258%	1e-05	1.0
SP.Syn.Abst.12	9384	1.0	26.024	0.277%	3.077	0.277%	1e-05	1.0
SP.Syn.Abst.13	12464	1.0	25.97	0.208%	2.974	0.205%	1e-05	1.0
SP.Syn.Abst.14	13619	1.0	21.787	0.16%	2.699	0.17%	0.0	1.0
SP.Syn.Abst.15	7996	1.0	21.14	0.264%	2.541	0.273%	1e-05	1.0
SP.Syn.Abst.16	7806	1.0	23.657	0.303%	2.822	0.304%	1e-05	1.0
SP.Syn.Abst.17	18033	1.0	25.045	0.139%	3.109	0.148%	0.0	1.0
SP.Syn.Abst.18	11997	1.0	23.155	0.193%	2.8	0.197%	0.0	1.0
SP.Syn.Abst.19	11115	1.0	23.605	0.212%	2.781	0.214%	1e-05	1.0
SP.Syn.Abst.20	5547	1.0	23.589	0.425%	2.811	0.436%	2e-05	1.0
SP.Syn.Abst.21	7995	1.0	25.385	0.318%	2.989	0.322%	1e-05	1.0
SP.Syn.Abst.22	9268	1.0	20.592	0.222%	2.485	0.231%	1e-05	1.0
SP.Syn.Abst.23	7167	1.0	24.32	0.339%	2.859	0.343%	1e-05	1.0
SP.Syn.Abst.24	12816	1.0	22.165	0.173%	2.696	0.181%	0.0	1.0
SP.Syn.Abst.25	10264	1.0	25.978	0.253%	2.974	0.246%	1e-05	1.0
SP.Syn.Abst.26	9249	1.0	22.546	0.244%	2.74	0.244%	1e-05	1.0
SP.Syn.Abst.27	7794	1.0	19.856	0.255%	2.414	0.267%	1e-05	1.0
