"","S1","S2","S3","S4","S5","S6","S7","S8","S9","S10","S11","S12","S13","S14","S15","S16","S17","S18","S19","S20","S21","S22","S23","S24","S25","S26","S27","S28","S29","S30","S31","S32","S33","S34","S35","S36","S37","S38","S39","S40","S41","S42","S43","S44","S45","S46","S47","S48","S49","S50","S51","S52","S53","S54","S55","S56","S57","S58","S59","S60","S61","S62","S63","S64","S65","S66","S67","S68","S69","S70","S71","S72","S73","S74","S75","S76","S77","S78","S79","S80","S81","S82","S83","S84","S85","S86","S87","S88","S89","S90","S91","S92","S93","S94","S95","S96","S97","S98","S99","S100","S101","S102","S103","S104","S105","S106","S107","S108","S109","S110","S111","S112","S113","S114","S115","S116","S117","S118","S119","S120","S121","S122","S123","S124","S125","S126","S127","S128","S129","S130","S131","S132","S133","S134","S135","S136","S137","S138","S139","S140","S141","S142","S143","S144","S145","S146","S147","S148","S149","S150","S151","S152","S153","S154","S155","S156","S157","S158","S159","S160","S161","S162","S163","S164","S165","S166","S167","S168","S169","S170","S171","S172","S173","S174","S175","S176","S177","S178","S179","S180","S181","S182","S183","S184","S185","S186","S187","S188","S189","S190","S191","S192","S193","S194","S195","S196","S197","S198","S199","S200"
"RandSig1",0,0,1100.816468884,0,349.07569102545,943.552189292443,0,919.947979811956,368.823095459351,0,0,0,580.423778344187,550.953349900804,803.973526552917,10948.5662079016,0,2573.24505027878,543.075093355656,0,732.782490275561,0,0,0,226.565445966457,290.092848946443,0,229.091363470324,489.016783757635,936.19925265897,815.590777879595,0,574.697708781932,318.736255073379,0,185.164860524329,259.840407730023,557.960758985725,1120.37173284123,0,189.530145440327,232.565166598611,86.5971050236282,374.78337715684,505.528710948947,111.536002869289,172.915206215081,616.132015085491,0,0,319.688224105505,1287.16199637578,2898.17869634795,865.982079989406,0,0,0,236.043744777946,325.524373240113,463.322325145352,0,1264.78440323561,505.667273606654,0,389.987413554217,786.631202830587,0,2512.11431546316,116.904442038554,314.993682076683,530.960196404472,0,0,0,0,438.598504174506,260.118138719271,1348.70881390106,1279.07497377796,151.417768307352,219.460690466644,97.4124086104186,813.79306509915,1006.19515435721,0,1041.23182285232,1782.96912833676,3049.91074418199,264.906330723129,282.896493115363,2210.43547644562,0,160.846384751392,338.12032259899,0,1443.3577609995,3304.2395680823,1554.57483779343,371.347979652815,162.788979115964,0,99.3350597097762,377.314656960375,0,718.190270289797,4485.4395561766,973.554715373947,0,464.938317529305,425.029274907771,0,490.840885534327,0,0,2628.8897350452,952.121529475851,315.600490643114,1745.1576465409,0,0,1030.24531491735,0,725.020218157008,215.830237593244,0,1110.75037052734,0,278.338889090884,0,329.153015890502,84.8350892464668,0,0,0,1901.95658778712,0,490.97932844173,694.585021828428,908.50687741444,440.438018132551,1295.66855392304,444.928836310119,361.283958847381,174.703223193631,126.9560066104,57.9132535943084,456.777768570797,1798.11209448557,0,0,7077.62338703423,401.820499301953,2259.54713279325,0,0,776.980188797852,409.45637268389,125.177677858704,1014.67152279209,469.025161805518,197.281487558395,0,441.800032213383,623.60549345527,0,246.969766170978,314.000227577622,93.1941576607313,366.644623332392,0,1045.1977192318,1227.20922264912,222.51562734065,173.746712481181,261.443270226411,0,205.719447333427,1334.87261713844,0,0,0,763.773532088678,245.762679565778,0,852.276877154053,0,333.297883541173,358.470549670433,665.378978964164,299.753918134557,0,0,0,771.45815669108,184.131012411663,926.474624137734,0,0,1002.34224849272,642.470547479653
"RandSig2",2454.04970199999,0,1117.80588958095,160.195710240849,1612.42452854766,0,0,359.03147186877,513.567992046469,522.41378061679,0,896.126136616105,1304.87197428468,0,739.875544417481,1015.9107536506,1600.69674747395,0,659.752511306654,0,0,655.81395737169,0,1706.59479293687,0,186.291006645728,952.682554148239,207.645545033474,332.885114225823,667.782501505924,702.89040996547,0,4924.05804757082,563.763845445513,0,707.22417498558,568.61804469881,289.939211872067,0,2178.34332795797,0,0,1063.0238439155,1816.62341217436,0,0,247.787663307588,1223.98243856141,381.546681451015,0,573.52914851075,103.986919546154,0,703.356686001844,0,387.197994424755,836.123811339872,0,310.476203347608,0,0,0,0,404.666048726428,710.272461877437,137.47253806248,1701.36597078291,634.386866659674,405.942334081567,505.110124140015,711.098472465825,0,473.417025811813,189.153337102511,0,281.221401740492,0,923.999927223056,689.443110090823,0,2948.97358870264,0,708.176600649071,0,720.233636320224,0,315.937195087376,730.863662395504,0,7733.48143573341,0,0,667.605193355821,0,0,2139.89416679317,0,0,0,317.3236020419,0,0,372.166581765602,804.019825171651,565.477904135268,1081.97502837368,0,0,0,0,979.018514609634,745.483714447938,342.057692190796,215.127764634396,919.954843557862,554.975024931047,218.831036900299,0,749.481004861311,0,98.7309691631629,201.179288507697,954.283277514637,807.718496751813,0,0,0,1903.92237647287,0,0,998.551369914698,205.524976571641,625.159537894627,544.645152433228,0,0,1756.5659555802,0,2911.69364101273,23.9672995057204,797.810501660696,0,1069.0179321141,0,926.400951811838,674.055473000524,992.880125319097,410.398381598991,0,958.4996727891,0,0,802.257355810769,0,0,785.884089666265,0,210.331805044474,1006.66829576037,0,0,501.515084647243,0,620.133199458933,1323.60851200496,0,4728.37295163887,263.171423041908,1459.11364431286,1587.99792057554,278.163943160499,1874.4426766422,531.387484578049,333.369288724037,3223.17693603704,471.305172465477,893.822274887258,516.291605450175,0,33.401544569325,298.35480400092,2029.82345804351,287.400241419061,0,0,0,620.343180440671,0,216.136210277232,2558.63186001333,0,0,797.827881001548,179.719751031464,941.250882619898,152.806430176432,404.118757089416,1155.36658026499,0,1655.95511937602
"RandSig3",155.081023842869,347.594730548936,0,98.7574588155391,0,227.944028495708,0,153.143208283321,123.179751250202,256.325539971927,0,0,284.011675425356,238.411605617716,167.783805796247,246.964197393458,0,0,289.665436967642,0,0,0,511.790162527471,275.312174875126,318.31347237462,0,222.524394204154,210.179686921746,0,285.32215896049,104.923229276096,0,0,233.468746335831,0,532.956019951083,210.14125034893,0,67.2555017002366,0,72.7434975624827,301.564665430931,100.700404177943,522.34783784151,164.526438745382,610.442163627541,184.611491498887,120.34411104911,236.977763822543,0,171.836342821578,135.889123472705,479.503376770419,238.688890108311,261.240155048816,211.238188613962,189.325989169722,0,221.912004641128,266.445586374746,170.75037696654,1227.56816692854,0,86.5683713916554,443.078125962428,129.700480165642,0,93.3009300325893,255.145960785943,347.82061465121,656.737749847484,162.312919160481,81.9694027691475,172.623753392572,0,0,0,691.953745703704,0,0,379.055146517728,0,249.423005365931,0,167.489863291318,0,317.08705243776,61.3125247988379,0,87.0428170101657,116.052353592243,304.441695550167,0,132.652751788635,34.8362692109675,113.486037226742,122.163654870172,96.7740785877731,0,154.958871360847,0,0,338.913842223705,0,0,296.173725678123,85.8647489106437,0,259.743320955644,227.4584361908,0,292.108454312266,111.427033308707,619.328870152147,0,140.644090446598,85.5053157485921,0,256.952914579627,0,344.873173617706,0,0,452.353117550942,1747.92968014855,647.537802308003,100.297333340806,298.170579799413,0,0,109.657751904442,274.794003482135,0,666.184058247545,71.7055184118102,0,315.055770543353,0,217.954343452546,649.565277717595,169.654331720709,0,0,0,291.782797578348,298.799916802837,0,595.882187467252,0,156.252608128307,422.024761700097,220.019993909102,571.980471519944,0,0,355.942521508515,0,73.7008559639073,133.457019732161,0,0,0,190.842245179295,0,0,92.4594048825166,326.072431492566,392.739339296507,357.508909774329,0,129.992205090487,136.418404867865,173.49740972627,0,0,126.761505999695,0,0,0,466.528533557102,0,156.2241073976,232.281847469055,0,207.182838283815,471.592576042522,175.039151680277,101.713498878189,43.6874805830604,97.9937609952686,0,129.817162226428,0,63.4690914615415,127.306756205027,320.016797791923,315.275919900568,541.440611580681,679.507998777871,89.4873716876467
"RandSig4",55.3530005858582,0,172.650227604568,0,321.941022713517,0,58.9784962577103,73.9780036281385,29.4008861466541,0,0,0,0,85.7712510838693,226.064516156249,95.1094203840404,193.30501497466,39.9039642724858,0,118.5373540292,69.797959419931,0,0,147.223886074177,97.469336240266,65.3226083473878,163.468624473585,150.741459019016,79.1030183355148,302.325853344005,131.190809717649,21.502414596916,131.340027675222,0,44.3047230223542,95.3997127536273,0,0,204.147910968471,99.8117758388477,76.0091837957377,0,0,92.3898579040751,127.683279017941,111.284429324004,0,0,0,0,82.8444838739878,66.573876425207,41.4461333980003,134.011822964328,77.146440978275,140.548540312344,0,0,0,113.42041490528,70.3873628281145,197.218482066911,51.5133177829818,0,140.812053496428,120.872574036474,0,142.756671086699,68.7956569034775,0,299.54895295189,0,0,99.5569485142245,0,0,108.252636629821,92.9577466568615,29.1874481529584,125.815239675642,90.7198695547874,425.083835420425,0,103.387081280626,95.4960199026171,111.303421456964,263.946330128571,0,0,533.929183834105,563.859691673364,0,88.4144784580209,185.673494946128,187.030914876672,78.4731205290256,0,0,0,114.930674859826,452.389243691311,0,93.6388861595944,76.9195434753685,274.194876671462,23.8732284019012,186.556010143931,0,100.154849962483,91.8778182218295,0,146.69257040159,250.837719048257,59.0030861415453,52.875019895152,0,226.906528352653,41.612609083701,196.335249082241,0,104.315734874199,171.910591097276,0,25.0418364686485,0,75.7635788896046,92.874527410472,213.104201578862,0,110.376667990653,349.167264484345,73.8171470391802,0,0,109.521862248814,0,79.8838301225872,63.0051880012228,162.926557499647,0,0,92.5258573984341,276.304415189789,0,0,43.5462175723257,112.968804748886,41.8140408025982,0,82.3669779380158,27.4974533969668,0,138.591524236645,0,285.511422678627,58.3706120348481,0,196.978916817896,201.067245453055,0,0,0,51.1100975906588,0,0,0,116.834748185689,101.366790743012,0,43.7233815064497,247.973227652283,0,102.166057533168,133.25960329136,162.183229050733,128.219096824387,0,80.6679617488265,0,176.168312562617,0,74.1316034049648,53.6213937769063,0,0,68.3770248563728,118.854058538584,968.955783749168,162.101420756071,78.4473959798523,0,0,0,222.52101129444,80.690940247871,0,0,119.205489030235,226.672773742004,90.1548390229559
"RandSig5",1532.40887581293,0,0,2626.49034764463,1018.09521097772,4470.69047834969,0,398.822537496635,2436.61220800093,0,0,0,473.482423623015,0,821.451019589309,0,1049.35040926621,995.696496119676,0,563.236864504485,2357.43709905103,0,402.093151714493,0,1236.97661317843,1102.64647454905,1206.80922966912,3489.38717701357,1005.02076134624,0,996.34662220067,0,0,1249.94548857267,1500.18752051592,873.542401764475,2840.15752113773,9605.52988110028,1137.47646618787,2388.32556084446,1884.93539755468,1000.66302295944,308.937322365431,539.461557510592,0,502.300768221137,3700.9944617678,685.234881232505,1510.68726466224,0,522.644364697431,1267.62213829292,302.881151341711,0,7370.0533653888,2167.89223228087,411.703542638539,0,1172.62001083818,1345.62438085796,6580.63543882342,0,1420.50575813321,1246.69865025706,725.206545747514,0,0,0,704.23425816007,1771.98599956303,0,595.273894273245,0,0,4542.69334550615,339.54012461925,3039.03193218727,1681.85769132997,793.810708862426,0,1139.70075422849,0,577.429766049962,1263.21264196039,0,0,533.439483956494,608.73673456013,0,591.459168519744,0,0,1029.82180660587,0,240.064307756801,470.781837028825,0,851.481047826569,1072.78596396673,686.932804948325,444.494140928512,0,1893.226116486,0,0,5757.88945473471,2338.97401714858,0,0,3744.84162017161,0,2694.98985542398,0,0,0,1463.14199874203,459.997771841309,4036.64514681747,628.652547057469,0,896.532496184976,0,0,209.75622521205,2914.65307927004,1333.01671690893,324.782748194829,360.176828001088,0,1040.68985754354,852.761774444033,2293.29206380432,0,2997.71288881981,337.157407301006,1643.3687446963,1558.73956234718,0,617.624048315138,2119.26671363657,708.371038142418,835.684655971854,249.397698402995,0,580.087986860448,1864.69994146271,569.477569473035,723.160193104229,1186.57617162292,432.387319724423,0,1641.84836913431,862.835428810365,0,717.977143518026,1353.01490831349,327.474687618637,276.624502025199,1102.35191428095,853.771881419842,0,0,0,2171.02113129025,608.400636654502,0,4013.5266281,906.667601017158,229.478789773993,1167.49572347066,1578.89865763201,715.630926582005,0,0,286.301386549598,4281.39316881445,463.401955819611,234.092028267387,0,4608.50839488607,0,349.601613801616,650.864316578125,0,177.095735467124,890.927119033468,355.204635879446,506.533787631035,1354.45068325601,1279.15026383451,0,0,984.037609657158,2852.89560798874,1250.60756534619,8111.6293573901,3124.35984304059,1035.78223881488,0,0
"RandSig6",1536.70793504601,282.293436263772,472.727932288917,3668.06709098493,9205.23386449353,826.233616394876,0,0,411.227748086707,0,0,0,1846.98481810889,567.35179242117,306.59211741087,372.643399309208,601.24298396344,432.31773182761,0,501.061771598988,315.855809177255,1169.334092768,446.294835391307,0,0,0,0,234.10968535878,1481.80996962044,193.075595848641,101.775053378163,1525.72964839862,0,473.425238625075,347.243032803654,0,0,0,3064.36219380259,0,662.38048750939,234.91276086062,308.794117762024,772.407559115888,264.915626049758,770.724997641708,2251.83719674061,214.517949546811,0,529.660839292332,190.627754895727,237.772501682965,2710.78833260836,1267.70288365961,3113.69542051931,2367.81207371315,0,1472.6053300097,537.174182341113,1272.81560459092,1451.79216156629,418.226288450905,460.227200435709,0,0,0,0,0,1353.38687879181,0,472.02004038005,0,1600.25487649205,0,0,1458.94917215211,743.446931921454,203.72554962288,644.823635974587,0,3727.15183074879,0,974.234952437965,0,0,2179.93485499893,2974.79360119006,0,0,0,0,1370.58750883918,520.174381261639,0,0,2766.85623885929,941.006127074415,2249.01903044794,727.909734685789,3644.2077191764,123.487052804947,3104.97845821111,1132.42034767315,377.401117049609,0,319.078384270849,256.280187509002,0,815.61028297929,0,0,251.086191157616,0,0,2050.81828422766,884.012930693853,0,0,123.310948976045,350.056232876231,268.520198114416,852.721606615811,0,219.923945568557,0,521.921750629309,0,557.201417468627,0,0,0,296.75267939484,0,128.384770418551,253.449174614775,0,342.626851150798,3735.85070712387,1145.48797308045,0,418.117176899725,752.452811998506,523.479646116319,0,1574.15992235395,470.242058046423,801.210918839581,672.065002590054,0,674.800195868913,718.8103130295,0,4138.12252921545,0,0,1775.90389689597,0,187.122579402359,1421.65835886203,158.061050716231,0,0,90.4713681675199,488.524078457624,0,456.556989644371,0,961.6175188253,0,470.326954838633,1727.68526219305,2381.31538159004,620.469772472867,1947.24149483356,1670.82540386258,1347.41177282675,0,284.326308297619,1609.78404913656,495.111973427564,787.765616048973,995.09487302929,1254.72964516757,0,0,1484.17078006298,628.198157024815,189.598446852218,363.689968050592,1116.3241755964,0,0,0,387.72897549352,0,0,175.750909066782,0,112.313671897389,845.802794070437
"RandSig7",0,0,0,558.356434610976,7762.45860951663,327.098808938168,0,19024.2702705134,564.723765188644,0,0,0,619.797860323033,0,414.054343501119,99.8848404568932,381.534076677263,1661.58162791438,1080.77138739077,2694.70829945634,1881.07012392805,302.478761197341,817.585710069916,1263.88639959815,1491.22728027772,10857.3825145242,2904.71062227871,1496.34978667288,0,910.386076180767,4859.36325937096,0,2678.13569478568,6984.6435427087,943.626996251941,3830.51328004454,4410.34181466769,0,11286.8157538949,4116.58436880026,2859.99211629812,0,936.854473051335,13631.1477483759,5921.66714202132,918.422040874886,0,5598.87720200836,6668.04915044353,0,879.747770534388,4619.33238319126,1639.46245083037,1011.72719763689,0,605.871626761021,0,1064.62555743642,0,1120.41146740462,0,987.277055937732,0,0,1562.99274785306,0,3245.11457311744,794.893869082659,7940.37433959903,2853.92733775972,33451.0992809253,714.301422314417,10027.7684308002,2486.08609694566,0,1948.25214893489,4476.14778533435,1822.34738115302,0,0,1699.54399109213,0,1792.37518096638,504.001540994577,1482.28474868958,7467.11614882078,676.12928637648,675.004242515431,0,17011.9807073355,0,3421.3490666946,0,175.189621764924,11577.6427959935,0,0,4040.65404037251,2578.65124421862,2627.69471786718,0,231.29080156598,3095.28291383453,0,793.635667131675,1282.868839439,2864.94435239118,272.827554389721,0,0,0,6690.9169154174,0,25673.7944368703,37259.4253411497,369.258912694166,5559.25035464332,1233.18272812783,22361.9392628671,0,5583.93171700604,5838.69991941493,0,4308.85453528348,1058.9115077872,0,677.168720231716,5091.63774836009,0,402.26738045306,326.954160970996,490.259537921131,2910.21173298358,0,0,0,936.152643325514,0,13210.9435649775,0,1456.49531748107,1116.08558426462,1130.54908163736,0,0,2946.97305224728,2891.00400608421,0,520.905749696054,5513.15900325692,378.265298543868,0,4062.20902129676,0,5195.85443084496,671.675304717277,0,221.365411989306,4797.86171966688,5549.49474100947,0,0,798.568345241166,1524.95411120495,0,0,1367.78672190296,2922.224750776,0,0,0,0,639.071079123574,1706.6093920683,972.003882775247,1904.08998406068,7937.93837020724,443.213072180058,0,1937.19196616689,4654.02008827649,1897.11366700347,0,0,0,0,3562.96177956081,0,18629.1671757459,809.87195430773,784.740204872899,1121.10420321348,1721.6828777911,3949.1943678571,1937.66828775286,0,0,1257.13723468068,936.175933723729,3798.4080424055
"RandSig8",0,0,0,0,123.903169193688,998.038398517308,0,0,0,0,0,0,0,0,88.6620781515933,383.666456127771,141.05660069024,573.173856704649,0,358.928605093042,0,740.60395787576,0,0,545.357289379631,142.894988561911,0,0,0,290.42923748316,228.522133080995,0,188.599173861216,0,374.018657920885,504.282994771689,0,0,241.301102875836,0,399.964399701465,0,87.416925879352,172.279642694534,0,594.021553005618,560.922747074951,93.96060973222,0,0,171.269588694645,366.006425384812,225.175214725482,818.401451426016,0,601.851304581424,0,0,700.064574762574,1339.69246809599,192.652017929701,0,106.507852551477,0,227.17006080412,0,284.798906425192,377.829935330172,0,0,397.842987295518,258.208449693959,0,0,0,206.078304452766,343.938023361337,474.954602046214,432.610458917406,0,892.608877367742,0,142.720573484094,738.799631330916,0,462.408685672961,362.495284315889,812.525100299725,0,324.370669526011,107.324954766892,673.405798377151,206.59611593759,1053.00537425933,0,0,287.156913173494,0,120.471970133736,216.158358947393,0,386.102788334888,0,0,678.957782237246,386.025377683828,1632.58995947422,0,825.780028022733,0,0,88.3922062260112,800.874405159854,718.842302458438,83.0648410751771,0,563.545526529238,136.673836677832,0,0,310.203008887596,0,38.487434294409,171.621075432998,212.877117270275,0,0,863.531517519796,509.617076324429,461.880419505803,173.042379809594,348.000441215062,0,142.427230976899,0,0,275.58404171332,474.702817330879,118.98826113986,0,185.510644094935,200.837731366697,483.039332300613,0,0,172.572693463504,109.848989902252,110.29429743587,457.162391109843,0,300.644103163668,0,94.8550248559531,0,609.784232057146,0,0,740.302422404922,0,0,0,78.9197661486192,1898.29144856599,376.160837447492,0,0,229.338384100154,0,399.422576435285,871.280020547313,0,405.756759235193,263.39356801588,205.193475337021,356.624779735373,603.628595633101,0,145.866623503184,0,648.75535403034,2014.38775698156,309.553791727225,303.881288625399,1385.72174315402,504.523812423911,67.6854587820332,236.254713290357,102.140605995359,693.333210269297,128.372560491429,0,0,255.099669500125,543.307611767678,612.350819984235,433.161961003146,106.257679722609,0,677.060986621738,715.538280121917
"RandSig9",0,0,84.7240937841245,0,119.772134493915,0,0,127.530399460724,191.220795319764,122.443039035543,0,0,110.420759557169,0,79.9482486623941,214.514684790637,0,114.123783230733,329.498479424254,0,101.502279923641,199.171207191337,0,285.534746500265,0,604.004793329886,114.695130957723,99.3548095194987,69.4735631246589,91.1007828851236,207.619833919707,0,425.756878259489,0,204.797207372791,89.1090186070671,186.082706538493,0,61.3096948955777,0,0,123.871548473002,125.64060434515,100.110154126715,569.992524888346,0,342.400857282869,147.20684151819,486.865581911506,0,0,0,80.2975479418717,474.393044473243,0,808.278036454138,388.353968480958,132.425403140835,290.676635299777,34.9687714607886,744.505251277038,0,299.119198907443,211.582315829164,185.971992376317,0,191.249180366501,0,88.4653625631258,293.072811410306,551.815167076995,177.423740653679,0,0,0,57.8594829353016,30.6719323792213,167.510219614047,897.976733972301,188.115328875791,0,0,0,95.3401936616666,200.427531518248,140.539831696405,275.55808218685,0,0,154.85084701666,0,63.8250971144644,209.056447205502,0,84.9882292025463,574.444164894902,0,0,496.351192853053,119.005632313252,0,60.548837602507,139.357381829475,499.254063394348,174.242640219921,50.5581133846785,216.979183619903,230.945203423133,0,328.981309351138,121.89203126844,618.130611561989,240.819616069798,1049.29156734977,576.440716080468,252.101694929837,233.947459297653,116.241015490274,158.712526561796,0,200.450536088787,0,734.220697234708,107.057625083733,288.954340472835,0,0,129.820975505535,0,192.086949856066,198.481986844825,406.011557281762,0,186.030757245212,0,147.425197333007,94.5515802718993,0,126.91292820921,249.993376872675,183.565314899881,0,0,0,377.076498204329,102.988489106749,0,448.732492171406,95.9096644041144,0,0,0,243.20360793647,259.522007862949,175.73638232182,485.726222120029,259.04891709897,690.276694699673,335.61264983099,0,0,0,180.819196935268,0,0,0,152.89294573386,128.518482589167,87.4448896977257,182.239376908499,940.995656458805,175.703824837986,163.280049389076,140.182821992502,1011.190795854,119.835653616638,46.2607284756871,0,248.91028209973,94.9512240336434,173.546013603586,380.001154936572,398.510130597295,0,283.668891428602,286.880323571524,0,0,0,0,0,304.569570250644,180.563869604544,60.9035208827421,213.394640320245,77.9863008846826,0,0,156.971507444536,91.0761585647546
"RandSig10",506.876219554393,0,417.067023528345,0,4497.55895083516,911.502572180473,0,692.076892217499,6590.67669629981,0,0,1429.81377929089,168.486656530806,0,917.442015082923,0,3808.61900206466,1657.3885445094,2624.65277015112,0,0,0,466.617476205492,705.622047882732,110.402621015949,1623.69180509645,1185.92833822577,0,0,20390.1796860669,226.661159091075,0,1491.80827282938,0,1168.25303323438,1105.50077136001,478.584653074007,1305.87284615068,0,0,1437.59217341239,0,80.1576830865028,1380.01700670677,0,4413.0466564843,3470.75622511447,4704.53182245679,745.739343596125,0,395.082715798796,3281.06665102625,0,1024.6765349651,0,343.335865711095,376.067511047162,0,1053.69196028782,574.860653876962,0,0,1156.43046108796,0,762.750918482918,393.722788016599,807.733975382692,0,0,0,0,469.896533750097,1202.9085826491,0,0,1790.92952826293,457.321244374989,550.865131788691,403.776730716998,0,0,0,1795.46328356928,1578.03534013041,6555.93538201699,0,0,7468.67724727558,2581.23679805205,932.603812009421,2615.6234525313,0,0,479.249109324234,0,822.413209200168,0,629.462910716949,0,954.906822794886,0,1162.89933544161,1986.06573688305,0,370.196695141315,1308.30437502595,623.444558857376,1289.20322792101,0,80.4300724491174,0,1283.8235350417,0,320.841877440843,5309.17685674386,1427.53781230936,0,1630.86506546422,0,0,1562.39501181538,257.620580827559,0,923.506088386551,4255.68991808034,0,0,204.651799448301,0,0,1788.20462909935,508.648652556203,541.047261352732,0,0,0,0,3097.41550517414,1550.67649131936,0,513.505716668831,2608.42322592442,1096.92579252975,0,0,165.871412469109,1944.75740185112,1742.0094203727,0,344.290793888301,0,888.888009732114,650.725424407974,0,0,608.092213126914,0,1215.85603033523,1749.07709897733,0,0,0,611.889808269516,2281.78443248655,783.51073801807,2556.54663304906,0,0,834.004477603837,1232.47363034398,1188.80674866427,611.938336485058,955.610454662708,0,0,2970.43653421421,0,0,0,633.255868473665,946.87352199772,593.568591572021,443.428138627097,0,9983.23232328032,0,88.3399493645334,342.804585789199,627.425623920582,4702.5280580138,0,0,907.251312845939,587.082555125347,2063.40732965312,492.839897684085,139.186163035668,1401.42182283949,0,0
